date,GDP,Property.management,Army,Ford...4,Small.busines,Volvo,Finance...11,rental,consumption,Construction...14,Farm...15,Mining,Services,Export,Consumption,Farm...25,Construction...26,Agriculture,Ford...28,Finance...30,Electricity,Food.Service,Audi,Ford...38,unemployment,travel,Small.business,trade,budget,health.policy,online,online.business,loan,real.estate,insurance,whole.sale,utilities
2004-02-01,0.00055904,-0.076589043,-0.080066302,-0.006597576,-0.296581472,0.130544739,0.09961603,0.002116852,-0.015084944,-0.119177867,-0.027108332,0.068399144,-0.123926547,0.085009817,-0.015084944,-0.027108332,-0.119177867,0.013367836,-0.006597576,0.09961603,-0.039767814,0.727465816,-0.248563929,-0.006597576,-0.186594574,-0.008839836,-0.04337793,-0.085607824,0.00664424,1.164270623,-0.018267545,-0.416006426,-0.133817673,-0.024328187,-0.023601119,-0.348241759,-0.149102456
2004-03-01,0.007651569,-0.395347317,0.042062867,0.092798472,0.361779358,0.003362192,-0.078263591,-0.023201547,-0.558760434,0.085160457,0.145193039,-0.110035863,-0.040337446,0.000878283,-0.558760434,0.145193039,0.085160457,0.061983854,0.092798472,-0.078263591,0.063362322,-0.8338099,0.03335993,0.092798472,0.247989859,-0.204636149,0.01906993,-0.013750394,0.007350355,0.148649797,0.008897466,0.222167705,0.228359749,-0.008378574,0.013824268,0.284641261,-0.000911411
2004-04-01,0.002434142,0.065583779,-0.084648587,0.021124847,-0.310083144,-0.206178381,0.014523558,0.065098472,0.631147674,-0.013432631,-0.13951409,-0.121928732,-0.124227849,-0.11064886,0.631147674,-0.13951409,-0.013432631,-0.029921205,0.021124847,0.014523558,-0.278406248,0.298525756,0.022181923,0.021124847,-0.011947933,0.206148523,-0.07499245,0.142213782,-0.016327961,-0.635519551,-0.068661489,-0.045657181,-0.182850959,-0.040218025,-0.119551389,-0.043098736,0.183064243
2004-05-01,0.003124285,0.264939654,-0.013046626,0.016539186,0.067880164,0.436214607,-0.02533114,0.016431713,0.298644436,0.053844795,0.076248939,0.044487078,0.190481165,-0.009662722,0.298644436,0.076248939,0.053844795,0.22103872,0.016539186,-0.02533114,-0.05195273,-0.126252901,-0.07396445,0.016539186,-0.545952147,0.032312738,-0.145261333,-0.022029884,0.058862669,-0.195596955,0.012435568,-0.02764459,0.01026491,-0.043076891,0.085173573,0.127862883,-0.062997323
2004-06-01,0.004530947,-0.163235222,0.232541951,-0.014256341,-0.103415205,-0.486352066,-0.15607371,-0.079471579,-0.16260444,0.021297136,-0.117212992,0.009491124,-0.090692314,-0.086840753,-0.16260444,-0.117212992,0.021297136,-0.260648114,-0.014256341,-0.15607371,-0.032796625,0.352911759,0.091554602,-0.014256341,0.151357354,0.016007696,0.136168933,-0.152021908,0.058725701,-0.886653608,-0.025899908,0.474731606,0.231704447,-0.015133277,-0.011630669,-0.129261133,-0.024826518
2004-07-01,0.000697766,0.156141033,-0.277344591,-0.00720486,-0.350694476,0.017150993,-0.149325535,0.11544551,0.054045923,-0.201843054,-0.227141404,-0.01747236,0.024032172,0.197273648,0.054045923,-0.227141404,-0.201843054,0.022123404,-0.00720486,-0.149325535,0.170943019,0.095531121,-0.01867928,-0.00720486,-0.322516813,0.008971348,-0.529330888,-0.059269127,0.015348256,1.802664019,0.015721408,-0.408972864,-0.29826534,0.096407439,-0.003161311,0.486362072,0.294611853
2004-08-01,0.004559199,0.040062311,0.08209342,-0.111501171,0.185148082,0.129362995,0.115911664,-0.11538578,-0.110381241,0.158102555,0.149063089,-0.042483314,0.003353116,-0.006416999,-0.110381241,0.149063089,0.158102555,0.044636274,-0.111501171,0.115911664,-0.257308813,-0.026425999,0.037340862,-0.111501171,0.601225306,-0.101708646,0.377997583,-0.054292828,-0.049942344,-1.259983115,0.009971339,0.31486337,0.119144604,-0.069403593,0.032231743,-0.499566068,-0.437463236
2004-09-01,0.002772887,0.025025518,-0.09887684,0.254262428,0.104175952,0.204733827,0.106964269,0.016142855,0.045771768,-0.012278956,0.07143517,0.163712365,-0.007442753,0.014875168,0.045771768,0.07143517,-0.012278956,0.204361309,0.254262428,0.106964269,0.03674511,-0.207942101,0.201207617,0.254262428,-0.347829176,0.124700737,-0.094786081,0.230292174,0.111949841,0.528176463,0.026853917,-0.197990033,0.092470454,-0.041882808,-0.014344797,0.250948255,0.592239649
2004-10-01,0.001206547,0.352065896,0.012173412,-0.177413334,0.002155835,-0.098157202,0.094831956,0.024437227,0.046736732,0.001320694,-0.010131242,0.049908488,-0.088517175,-0.131894077,0.046736732,-0.010131242,0.001320694,-0.325096879,-0.177413334,0.094831956,-0.040819632,-0.002760864,-0.385719121,-0.177413334,0.032301377,-0.077704531,0.24800035,0.109400783,-0.043644782,0.467006331,-0.004379578,-0.006132425,-0.103011122,0.030411397,-0.070161719,-0.274639817,-0.479771303
2004-11-01,0.001471446,-0.318249653,0.05687991,0.064324908,-0.110890728,-0.255054038,-0.21475567,-0.02945546,-0.354266549,0.02021811,0.067608498,-0.187493034,0.095457405,0.013665434,-0.354266549,0.067608498,0.02021811,0.234867724,0.064324908,-0.21475567,0.10676088,-0.909800263,0.135550973,0.064324908,0.241254649,-0.064232095,-0.027849786,-0.190155248,-0.027969155,-0.078096479,-0.040659082,-0.158510263,-0.043375144,-0.00285676,-0.037622597,0.459386292,-0.219563807
